,HSN1F_M,HSN1F_M_PCT_CHG,HSN1F_Q_PCT_CHG,HSN1F_A_PCT_CHG,HSN1F_2A_PCT_CHG,HSN1F_3A_PCT_CHG
1968-04-01,501.0,0.022448979591836782,-0.07734806629834257,-0.003976143141153132,0.004008016032064132,-0.07904411764705888
1968-05-01,441.0,-0.11976047904191611,-0.09999999999999998,-0.11623246492985972,0.016129032258064502,-0.28175895765472314
1968-06-01,441.0,0.0,-0.11976047904191611,-0.14368932038834947,0.01379310344827589,-0.20397111913357402
1968-07-01,493.0,0.11791383219954654,0.11791383219954654,-0.02182539682539686,0.3076923076923077,-0.1983739837398374
1968-08-01,507.0,0.028397565922920975,0.14965986394557818,-0.04519774011299438,0.4162011173184357,-0.1362862010221465
1968-09-01,501.0,-0.011834319526627168,0.016227180527383478,-0.11484098939929333,0.2945736434108528,-0.0972972972972973
1968-10-01,502.0,0.001996007984031989,-0.009861932938856066,0.0040000000000000036,0.31413612565445037,-0.18506493506493504
1968-11-01,469.0,-0.06573705179282874,-0.06387225548902198,-0.06573705179282874,0.2710027100271002,-0.22988505747126442
1968-12-01,511.0,0.08955223880597019,0.017928286852589626,0.03441295546558698,0.22836538461538458,-0.1469115191986644
1969-01-01,480.0,-0.0606653620352251,0.023454157782516027,-0.11602209944751385,0.17647058823529416,-0.11275415896487984
1969-02-01,524.0,0.09166666666666656,0.02544031311154593,0.06938775510204076,0.1936218678815489,-0.05924596050269304
1969-03-01,474.0,-0.09541984732824427,-0.012499999999999956,-0.053892215568862256,-0.01043841336116913,-0.13027522935779812
1969-04-01,450.0,-0.05063291139240511,-0.14122137404580148,0.020408163265306145,-0.10536779324055667,-0.09819639278557113
1969-05-01,447.0,-0.00666666666666671,-0.05696202531645567,0.013605442176870763,-0.10420841683366733,0.02995391705069128
1969-06-01,461.0,0.031319910514541416,0.02444444444444449,-0.06490872210953347,-0.10485436893203881,0.05977011494252871
1969-07-01,436.0,-0.05422993492407813,-0.02460850111856827,-0.14003944773175547,-0.13492063492063489,0.1564986737400531
1969-08-01,422.0,-0.032110091743119296,-0.08459869848156187,-0.1576846307385229,-0.20527306967984937,0.17877094972067042
1969-09-01,396.0,-0.06161137440758291,-0.09174311926605505,-0.2111553784860558,-0.3003533568904594,0.023255813953488413
1969-10-01,401.0,0.012626262626262541,-0.049763033175355464,-0.14498933901918976,-0.19799999999999995,0.04973821989528804
1969-11-01,441.0,0.09975062344139651,0.11363636363636354,-0.136986301369863,-0.12151394422310757,0.19512195121951215
1969-12-01,452.0,0.024943310657596474,0.1271820448877805,-0.05833333333333335,-0.08502024291497978,0.08653846153846145
1970-01-01,461.0,0.019911504424778848,0.0453514739229024,-0.12022900763358779,-0.151012891344383,0.1299019607843137
1970-02-01,373.0,-0.19088937093275493,-0.1747787610619469,-0.21308016877637126,-0.2387755102040816,-0.1503416856492027
1970-03-01,389.0,0.04289544235924936,-0.1561822125813449,-0.13555555555555554,-0.22355289421157687,-0.1878914405010439
1970-04-01,445.0,0.14395886889460163,0.1930294906166219,-0.004474272930648726,0.009070294784580435,-0.11530815109343939
1970-05-01,466.0,0.04719101123595504,0.1979434447300772,0.010845986984815648,0.05668934240362811,-0.06613226452905807
1970-06-01,485.0,0.04077253218884125,0.0898876404494382,0.11238532110091737,-0.016227180527383367,-0.058252427184465994
1970-07-01,481.0,-0.008247422680412342,0.032188841201716833,0.13981042654028442,-0.05128205128205132,-0.045634920634920584
1970-08-01,515.0,0.07068607068607058,0.061855670103092786,0.3005050505050506,0.027944111776447178,-0.030131826741996215
1970-09-01,564.0,0.09514563106796126,0.17255717255717262,0.4064837905236909,0.12350597609561742,-0.0035335689045936647
1970-10-01,545.0,-0.03368794326241131,0.058252427184465994,0.23582766439909286,0.16204690831556512,0.09000000000000008
1970-11-01,570.0,0.04587155963302747,0.010638297872340496,0.26106194690265494,0.1154598825831703,0.1354581673306774
1970-12-01,582.0,0.021052631578947434,0.06788990825688068,0.26247288503253796,0.2124999999999999,0.17813765182186225
1971-01-01,618.0,0.061855670103092786,0.08421052631578951,0.6568364611260054,0.17938931297709915,0.13812154696132595
1971-02-01,618.0,0.0,0.061855670103092786,0.5886889460154241,0.30379746835443044,0.2612244897959184
1971-03-01,681.0,0.10194174757281549,0.10194174757281549,0.5303370786516854,0.5133333333333334,0.35928143712574845
1971-04-01,662.0,-0.027900146842878115,0.07119741100323629,0.4206008583690988,0.48098434004474266,0.5011337868480725
1971-05-01,618.0,-0.06646525679758308,-0.09251101321585908,0.27422680412371125,0.34056399132321036,0.4013605442176871
1971-06-01,646.0,0.0453074433656957,-0.024169184290030232,0.343035343035343,0.4816513761467891,0.31034482758620685
1971-07-01,706.0,0.09287925696594423,0.14239482200647258,0.3708737864077669,0.6729857819905214,0.39250493096646943
