DATE,SHARE_M
12/1/2007,0.870049805
1/1/2008,-6.487844656
2/1/2008,-1.480922737
3/1/2008,-2.92913926
4/1/2008,4.567095348
5/1/2008,2.722773896
6/1/2008,-4.530188701
7/1/2008,-6.304789279
8/1/2008,-0.801093273
9/1/2008,-5.421778958
10/1/2008,-22.48666678
11/1/2008,-9.81617809
12/1/2008,-0.083022526
1/1/2009,-0.692248232
2/1/2009,-7.776455169
3/1/2009,-6.314647206
4/1/2009,12.66741495
5/1/2009,9.014404171
6/1/2009,2.819548226
7/1/2009,0.500865405
8/1/2009,9.335031136
9/1/2009,3.85393132
10/1/2009,2.279281943
11/1/2009,1.43579981
12/1/2009,1.194638941
1/1/2010,1.21776744
2/1/2010,-4.194719404
3/1/2010,5.689967315
4/1/2010,3.462787046
5/1/2010,-7.952006544
6/1/2010,-3.313299056
7/1/2010,0.437220642
8/1/2010,1.838219068
9/1/2010,3.217721303
10/1/2010,4.71824471
11/1/2010,1.669573585
12/1/2010,3.078452019
1/1/2011,3.264658058
2/1/2011,3.356328823
3/1/2011,-1.125939627
4/1/2011,2.379761154
5/1/2011,-0.692186928
6/1/2011,-3.617589795
7/1/2011,2.278044227
8/1/2011,-11.46763161
9/1/2011,-3.212859063
10/1/2011,2.090770805
11/1/2011,1.023287228
12/1/2011,1.054672417
1/1/2012,4.245273466
2/1/2012,4.565070418
3/1/2012,1.155014746
4/1/2012,-1.491292731
5/1/2012,-4.21394788
6/1/2012,-1.953428135
7/1/2012,2.879393706
8/1/2012,3.071030856
9/1/2012,3.181234374
10/1/2012,0.241455313
11/1/2012,-1.899595728
12/1/2012,2.966629721
1/1/2013,4.507631194
2/1/2013,1.728826929
3/1/2013,1.604601979
4/1/2013,0.560079721
5/1/2013,3.829871945
6/1/2013,-2.503381732
7/1/2013,2.66403016
8/1/2013,0.500989491
9/1/2013,1.317729218
10/1/2013,2.278268678
11/1/2013,2.691903965
12/1/2013,0.466855995
1/1/2014,0.937252538
2/1/2014,-0.643720288
3/1/2014,2.278175692
4/1/2014,0.941403309
5/1/2014,1.291632262
6/1/2014,2.413491284
7/1/2014,0.728011334
8/1/2014,-1.311309452
9/1/2014,0.846647725
10/1/2014,-4.215170259
11/1/2014,4.270405878
12/1/2014,-0.864126522
1/1/2015,-1.279818628
2/1/2015,2.694358608
3/1/2015,-0.507765477
4/1/2015,1.559922512
5/1/2015,0.537329909
6/1/2015,-1.191093441
7/1/2015,-1.424335631
8/1/2015,-3.002835679
9/1/2015,-5.490684598
10/1/2015,3.728849659
11/1/2015,0.993133105
12/1/2015,-2.157480647
1/1/2016,-6.641136901
2/1/2016,-1.083789768
3/1/2016,6.747522735
4/1/2016,2.805294803
5/1/2016,-0.00096716
6/1/2016,0.710482666
7/1/2016,2.537427098
8/1/2016,1.048783709
9/1/2016,-0.809334598
10/1/2016,-1.175597727
11/1/2016,0.810043135
12/1/2016,3.995254018
1/1/2017,1.136223226
2/1/2017,1.857567469
3/1/2017,0.769837566
4/1/2017,-0.485759117
5/1/2017,1.038073461
6/1/2017,1.419188598
7/1/2017,1.144921424
8/1/2017,-0.208736437
9/1/2017,1.72082403
10/1/2017,2.454667894
11/1/2017,0.27352302
12/1/2017,2.670338156
1/1/2018,4.366724964
2/1/2018,-3.826406578
3/1/2018,-1.177839037
4/1/2018,-0.576228759
5/1/2018,0.768476585
6/1/2018,0.250563669
7/1/2018,0.783847962
8/1/2018,1.465708333
9/1/2018,0.807753819
10/1/2018,-3.960980811
11/1/2018,-1.608835273
12/1/2018,-5.863569003
