,H_RATIO_M,H_RATIO_M_PCT_CHG,H_RATIO_Q_PCT_CHG,H_RATIO_A_PCT_CHG,H_RATIO_2A_PCT_CHG,H_RATIO_3A_PCT_CHG
1995-07-01,5.6,-0.034482758620689724,-0.11111111111111116,-0.08196721311475408,0.018181818181818077,0.07692307692307687
1995-08-01,6.1,0.08928571428571419,0.051724137931034475,0.016666666666666607,0.2448979591836733,0.21999999999999997
1995-09-01,6.3,0.032786885245901676,0.125,0.125,0.26,0.23529411764705888
1995-10-01,6.3,0.0,0.032786885245901676,0.0,0.3125,0.16666666666666652
1995-11-01,6.8,0.0793650793650793,0.0793650793650793,0.030303030303030276,0.5111111111111111,0.3599999999999999
1995-12-01,6.4,-0.05882352941176461,0.01587301587301604,-0.05882352941176461,0.0847457627118644,0.18518518518518512
1996-01-01,6.4,0.0,-0.05882352941176461,-0.12328767123287665,0.28,0.20754716981132093
1996-02-01,5.3,-0.1718750000000001,-0.1718750000000001,-0.22058823529411764,0.10416666666666674,-0.0185185185185186
1996-03-01,6.2,0.16981132075471694,-0.03125,-0.07462686567164178,0.1923076923076923,0.31914893617021267
1996-04-01,6.0,-0.032258064516129115,0.13207547169811318,-0.04761904761904756,0.13207547169811318,0.13207547169811318
1996-05-01,5.9,-0.016666666666666607,-0.048387096774193505,0.017241379310344973,-0.048387096774193505,0.13461538461538458
1996-06-01,6.0,0.016949152542372836,0.0,0.0714285714285714,-0.04761904761904756,0.13207547169811318
1996-07-01,5.7,-0.04999999999999993,-0.03389830508474578,-0.06557377049180324,-0.06557377049180324,0.036363636363636376
1996-08-01,5.0,-0.1228070175438597,-0.16666666666666663,-0.20634920634920628,-0.16666666666666663,0.020408163265306145
1996-09-01,5.2,0.040000000000000036,-0.08771929824561409,-0.17460317460317454,-0.07142857142857129,0.040000000000000036
1996-10-01,5.6,0.07692307692307687,0.11999999999999988,-0.17647058823529416,-0.11111111111111116,0.16666666666666674
1996-11-01,5.2,-0.07142857142857129,0.0,-0.1875,-0.21212121212121204,0.15555555555555567
1996-12-01,5.0,-0.03846153846153855,-0.1071428571428571,-0.21875,-0.2647058823529411,-0.15254237288135597
1997-01-01,4.7,-0.05999999999999994,-0.09615384615384615,-0.1132075471698113,-0.3561643835616438,-0.05999999999999994
1997-02-01,4.5,-0.042553191489361764,-0.09999999999999998,-0.27419354838709675,-0.3382352941176471,-0.0625
1997-03-01,4.1,-0.08888888888888902,-0.12765957446808518,-0.31666666666666676,-0.38805970149253743,-0.21153846153846168
1997-04-01,4.7,0.14634146341463428,0.04444444444444451,-0.2033898305084746,-0.25396825396825395,-0.1132075471698113
1997-05-01,4.6,-0.021276595744680993,0.12195121951219523,-0.2333333333333334,-0.206896551724138,-0.25806451612903236
1997-06-01,4.4,-0.04347826086956508,-0.06382978723404253,-0.22807017543859642,-0.2142857142857142,-0.3015873015873015
1997-07-01,4.4,0.0,-0.04347826086956508,-0.11999999999999988,-0.2786885245901638,-0.2786885245901638
1997-08-01,4.3,-0.022727272727272818,-0.022727272727272818,-0.17307692307692313,-0.31746031746031744,-0.2833333333333333
1997-09-01,4.2,-0.023255813953488302,-0.045454545454545525,-0.2499999999999999,-0.33333333333333326,-0.2499999999999999
1997-10-01,4.3,0.023809523809523725,0.0,-0.17307692307692313,-0.36764705882352944,-0.31746031746031744
1997-11-01,3.9,-0.09302325581395343,-0.07142857142857151,-0.21999999999999997,-0.390625,-0.40909090909090906
1997-12-01,4.4,0.12820512820512842,0.023255813953488413,-0.06382978723404253,-0.3125,-0.3529411764705882
1998-01-01,4.0,-0.09090909090909094,0.025641025641025772,-0.11111111111111116,-0.24528301886792447,-0.452054794520548
1998-02-01,3.9,-0.025000000000000022,-0.11363636363636376,-0.04878048780487798,-0.3709677419354839,-0.42647058823529416
1998-03-01,4.1,0.05128205128205132,0.02499999999999991,-0.12765957446808518,-0.31666666666666676,-0.38805970149253743
1998-04-01,4.0,-0.024390243902438935,0.025641025641025772,-0.13043478260869557,-0.3220338983050848,-0.3650793650793651
1998-05-01,3.9,-0.025000000000000022,-0.04878048780487798,-0.11363636363636376,-0.35,-0.3275862068965517
1998-06-01,3.8,-0.02564102564102566,-0.050000000000000044,-0.13636363636363646,-0.33333333333333337,-0.3214285714285714
1998-07-01,4.0,0.05263157894736836,0.025641025641025772,-0.06976744186046513,-0.19999999999999996,-0.34426229508196715
1998-08-01,4.1,0.02499999999999991,0.07894736842105265,-0.023809523809523947,-0.21153846153846168,-0.3492063492063493
1998-09-01,4.1,0.0,0.02499999999999991,-0.04651162790697683,-0.2678571428571429,-0.3492063492063493
1998-10-01,4.0,-0.024390243902438935,-0.024390243902438935,0.025641025641025772,-0.23076923076923084,-0.4117647058823529
1998-11-01,3.5,-0.125,-0.14634146341463405,-0.20454545454545459,-0.30000000000000004,-0.453125
1998-12-01,3.8,0.08571428571428563,-0.050000000000000044,-0.050000000000000044,-0.19148936170212771,-0.4062500000000001
1999-01-01,3.9,0.026315789473684292,0.11428571428571432,0.0,-0.1333333333333333,-0.26415094339622636
1999-02-01,4.0,0.025641025641025772,0.05263157894736836,-0.024390243902438935,-0.024390243902438935,-0.3548387096774194
1999-03-01,4.1,0.02499999999999991,0.05128205128205132,0.02499999999999991,-0.12765957446808518,-0.31666666666666676
1999-04-01,3.9,-0.04878048780487798,-0.025000000000000022,0.0,-0.15217391304347816,-0.3389830508474577
1999-05-01,4.0,0.025641025641025772,-0.024390243902438935,0.05263157894736836,-0.09090909090909094,-0.33333333333333337
1999-06-01,3.9,-0.025000000000000022,0.0,-0.025000000000000022,-0.11363636363636376,-0.3157894736842105
1999-07-01,4.0,0.025641025641025772,0.0,-0.024390243902438935,-0.06976744186046513,-0.19999999999999996
1999-08-01,4.0,0.0,0.025641025641025772,-0.024390243902438935,-0.04761904761904767,-0.23076923076923084
1999-09-01,4.5,0.125,0.125,0.125,0.04651162790697683,-0.1964285714285714
1999-10-01,4.2,-0.06666666666666665,0.050000000000000044,0.19999999999999996,0.0769230769230771,-0.1923076923076923
